interface	model	test	replicate	value	time
SCIP_CMD	iCN718	LP	1	0.238949224675067	0.09676504135131836
SCIP_CMD	iCN718	MILP	1	3.0	0.22727489471435547
HiGHS_CMD	iCN718	LP	1	0.2389492246751	0.049588918685913086
HiGHS_CMD	iCN718	MILP	1	3.0	0.5166559219360352
GLPK_CMD	iCN718	LP	1	0.238949	0.04835796356201172
GLPK_CMD	iCN718	MILP	1	3.0	0.3525080680847168
COIN_CMD	iCN718	LP	1	0.23893908	0.05964183807373047
COIN_CMD	iCN718	MILP	1	3.0	2.5828659534454346
CPLEX_PY	iCN718	LP	2	0.23894922467506674	0.025797128677368164
CPLEX_PY	iCN718	MILP	2	3.0	0.05390477180480957
GUROBI	iCN718	LP	2	0.2389492246750792	0.020267009735107422
GUROBI	iCN718	MILP	2	3.0	0.08444809913635254
SCIP_CMD	iCN718	LP	2	0.238949224675067	0.09751105308532715
SCIP_CMD	iCN718	MILP	2	3.0	0.22790288925170898
HiGHS_CMD	iCN718	LP	2	0.2389492246751	0.0494232177734375
HiGHS_CMD	iCN718	MILP	2	3.0	0.515369176864624
GLPK_CMD	iCN718	LP	2	0.238949	0.047660112380981445
GLPK_CMD	iCN718	MILP	2	3.0	0.3520493507385254
COIN_CMD	iCN718	LP	2	0.23893908	0.06013202667236328
COIN_CMD	iCN718	MILP	2	3.0	2.540804147720337
CPLEX_PY	iCN718	LP	3	0.23894922467506674	0.025989055633544922
CPLEX_PY	iCN718	MILP	3	3.0	0.056678056716918945
GUROBI	iCN718	LP	3	0.2389492246750792	0.020014286041259766
GUROBI	iCN718	MILP	3	3.0	0.08497881889343262
SCIP_CMD	iCN718	LP	3	0.238949224675067	0.09648013114929199
SCIP_CMD	iCN718	MILP	3	3.0	0.22749829292297363
HiGHS_CMD	iCN718	LP	3	0.2389492246751	0.04999399185180664
HiGHS_CMD	iCN718	MILP	3	3.0	0.5161950588226318
GLPK_CMD	iCN718	LP	3	0.238949	0.0483400821685791
GLPK_CMD	iCN718	MILP	3	3.0	0.3503079414367676
COIN_CMD	iCN718	LP	3	0.23893908	0.058028221130371094
COIN_CMD	iCN718	MILP	3	3.0	2.6426408290863037
CPLEX_PY	iCN718	LP	4	0.23894922467506674	0.025861024856567383
CPLEX_PY	iCN718	MILP	4	3.0	0.054203033447265625
GUROBI	iCN718	LP	4	0.2389492246750792	0.02076888084411621
GUROBI	iCN718	MILP	4	3.0	0.08907294273376465
SCIP_CMD	iCN718	LP	4	0.238949224675067	0.09732198715209961
SCIP_CMD	iCN718	MILP	4	3.0	0.23207330703735352
HiGHS_CMD	iCN718	LP	4	0.2389492246751	0.05028080940246582
HiGHS_CMD	iCN718	MILP	4	3.0	0.5185492038726807
GLPK_CMD	iCN718	LP	4	0.238949	0.04775404930114746
GLPK_CMD	iCN718	MILP	4	3.0	0.3501899242401123
COIN_CMD	iCN718	LP	4	0.23893908	0.058682918548583984
COIN_CMD	iCN718	MILP	4	3.0	2.5766830444335938
CPLEX_PY	iCN718	LP	5	0.23894922467506674	0.025850296020507812
CPLEX_PY	iCN718	MILP	5	3.0	0.05573725700378418
GUROBI	iCN718	LP	5	0.2389492246750792	0.02119588851928711
GUROBI	iCN718	MILP	5	3.0	0.08469223976135254
SCIP_CMD	iCN718	LP	5	0.238949224675067	0.09475588798522949
SCIP_CMD	iCN718	MILP	5	3.0	0.23618292808532715
HiGHS_CMD	iCN718	LP	5	0.2389492246751	0.050023794174194336
HiGHS_CMD	iCN718	MILP	5	3.0	0.5182468891143799
GLPK_CMD	iCN718	LP	5	0.238949	0.04758024215698242
GLPK_CMD	iCN718	MILP	5	3.0	0.35296201705932617
COIN_CMD	iCN718	LP	5	0.23893908	0.05981111526489258
COIN_CMD	iCN718	MILP	5	3.0	2.5913028717041016
CPLEX_PY	iCN718	LP	6	0.23894922467506674	0.025964021682739258
CPLEX_PY	iCN718	MILP	6	3.0	0.05586099624633789
GUROBI	iCN718	LP	6	0.2389492246750792	0.020180225372314453
GUROBI	iCN718	MILP	6	3.0	0.08385491371154785
SCIP_CMD	iCN718	LP	6	0.238949224675067	0.09800601005554199
SCIP_CMD	iCN718	MILP	6	3.0	0.23213505744934082
HiGHS_CMD	iCN718	LP	6	0.2389492246751	0.05019187927246094
HiGHS_CMD	iCN718	MILP	6	3.0	0.5221269130706787
GLPK_CMD	iCN718	LP	6	0.238949	0.04975104331970215
GLPK_CMD	iCN718	MILP	6	3.0	0.3538367748260498
COIN_CMD	iCN718	LP	6	0.23893908	0.06021285057067871
COIN_CMD	iCN718	MILP	6	3.0	2.577684164047241
CPLEX_PY	iCN718	LP	7	0.23894922467506674	0.025986194610595703
CPLEX_PY	iCN718	MILP	7	3.0	0.05534005165100098
GUROBI	iCN718	LP	7	0.2389492246750792	0.020248889923095703
GUROBI	iCN718	MILP	7	3.0	0.08481216430664062
SCIP_CMD	iCN718	LP	7	0.238949224675067	0.09842181205749512
SCIP_CMD	iCN718	MILP	7	3.0	0.2319331169128418
HiGHS_CMD	iCN718	LP	7	0.2389492246751	0.05044412612915039
HiGHS_CMD	iCN718	MILP	7	3.0	0.5171127319335938
GLPK_CMD	iCN718	LP	7	0.238949	0.12085127830505371
GLPK_CMD	iCN718	MILP	7	3.0	0.3790442943572998
COIN_CMD	iCN718	LP	7	0.23893908	0.06133413314819336
COIN_CMD	iCN718	MILP	7	3.0	2.5884950160980225
CPLEX_PY	iCN718	LP	8	0.23894922467506674	0.026362180709838867
CPLEX_PY	iCN718	MILP	8	3.0	0.05714917182922363
GUROBI	iCN718	LP	8	0.2389492246750792	0.020516157150268555
GUROBI	iCN718	MILP	8	3.0	0.0857081413269043
SCIP_CMD	iCN718	LP	8	0.238949224675067	0.09654784202575684
SCIP_CMD	iCN718	MILP	8	3.0	0.2329099178314209
HiGHS_CMD	iCN718	LP	8	0.2389492246751	0.050454139709472656
HiGHS_CMD	iCN718	MILP	8	3.0	0.5188479423522949
GLPK_CMD	iCN718	LP	8	0.238949	0.04991316795349121
GLPK_CMD	iCN718	MILP	8	3.0	0.36083102226257324
COIN_CMD	iCN718	LP	8	0.23893908	0.05980801582336426
COIN_CMD	iCN718	MILP	8	3.0	2.5788700580596924
CPLEX_PY	iCN718	LP	9	0.23894922467506674	0.026318073272705078
CPLEX_PY	iCN718	MILP	9	3.0	0.058890342712402344
GUROBI	iCN718	LP	9	0.2389492246750792	0.020260095596313477
GUROBI	iCN718	MILP	9	3.0	0.08437418937683105
SCIP_CMD	iCN718	LP	9	0.238949224675067	0.09737586975097656
SCIP_CMD	iCN718	MILP	9	3.0	0.24271512031555176
HiGHS_CMD	iCN718	LP	9	0.2389492246751	0.04969215393066406
HiGHS_CMD	iCN718	MILP	9	3.0	0.538707971572876
GLPK_CMD	iCN718	LP	9	0.238949	0.048914194107055664
GLPK_CMD	iCN718	MILP	9	3.0	0.3557469844818115
COIN_CMD	iCN718	LP	9	0.23893908	0.05861926078796387
COIN_CMD	iCN718	MILP	9	3.0	2.571110963821411
CPLEX_PY	iMM904	LP	0	0.7174219325653098	0.03651690483093262
CPLEX_PY	iMM904	MILP	0	3.0	0.11281895637512207
GUROBI	iMM904	LP	0	0.7174219325653098	0.031100749969482422
GUROBI	iMM904	MILP	0	3.0	0.12929415702819824
SCIP_CMD	iMM904	LP	0	0.717421932565265	0.11333370208740234
SCIP_CMD	iMM904	MILP	0	3.0	0.307265043258667
HiGHS_CMD	iMM904	LP	0	0.7174219325653	0.06660199165344238
HiGHS_CMD	iMM904	MILP	0	3.0	0.29497694969177246
GLPK_CMD	iMM904	LP	0	0.717422	0.06380486488342285
GLPK_CMD	iMM904	MILP	0	3.0	0.23322391510009766
COIN_CMD	iMM904	LP	0	0.71742193	0.06775999069213867
COIN_CMD	iMM904	MILP	0	3.0	4.955389022827148
CPLEX_PY	iMM904	LP	1	0.7174219325653098	0.04140591621398926
CPLEX_PY	iMM904	MILP	1	3.0	0.11853313446044922
GUROBI	iMM904	LP	1	0.7174219325653098	0.03170299530029297
GUROBI	iMM904	MILP	1	3.0	0.1304018497467041
SCIP_CMD	iMM904	LP	1	0.717421932565265	0.11764001846313477
SCIP_CMD	iMM904	MILP	1	3.0	0.31601381301879883
HiGHS_CMD	iMM904	LP	1	0.7174219325653	0.06649613380432129
HiGHS_CMD	iMM904	MILP	1	3.0	0.29163193702697754
GLPK_CMD	iMM904	LP	1	0.717422	0.06336307525634766
GLPK_CMD	iMM904	MILP	1	3.0	0.23351597785949707
COIN_CMD	iMM904	LP	1	0.71742193	0.06833267211914062
COIN_CMD	iMM904	MILP	1	3.0	4.959213018417358
CPLEX_PY	iMM904	LP	2	0.7174219325653098	0.03737306594848633
CPLEX_PY	iMM904	MILP	2	3.0	0.10917925834655762
GUROBI	iMM904	LP	2	0.7174219325653098	0.031013965606689453
GUROBI	iMM904	MILP	2	3.0	0.12894010543823242
SCIP_CMD	iMM904	LP	2	0.717421932565265	0.11441898345947266
SCIP_CMD	iMM904	MILP	2	3.0	0.3079509735107422
HiGHS_CMD	iMM904	LP	2	0.7174219325653	0.06558489799499512
HiGHS_CMD	iMM904	MILP	2	3.0	0.2953338623046875
GLPK_CMD	iMM904	LP	2	0.717422	0.06337523460388184
GLPK_CMD	iMM904	MILP	2	3.0	0.23345589637756348
COIN_CMD	iMM904	LP	2	0.71742193	0.06772708892822266
COIN_CMD	iMM904	MILP	2	3.0	4.930156946182251
CPLEX_PY	iMM904	LP	3	0.7174219325653098	0.03789687156677246
CPLEX_PY	iMM904	MILP	3	3.0	0.10821723937988281
GUROBI	iMM904	LP	3	0.7174219325653098	0.03169584274291992
GUROBI	iMM904	MILP	3	3.0	0.12981104850769043
SCIP_CMD	iMM904	LP	3	0.717421932565265	0.11467885971069336
SCIP_CMD	iMM904	MILP	3	3.0	0.3073601722717285
HiGHS_CMD	iMM904	LP	3	0.7174219325653	0.06571388244628906
HiGHS_CMD	iMM904	MILP	3	3.0	0.29204702377319336
GLPK_CMD	iMM904	LP	3	0.717422	0.06088089942932129
GLPK_CMD	iMM904	MILP	3	3.0	0.23250198364257812
COIN_CMD	iMM904	LP	3	0.71742193	0.06777715682983398
COIN_CMD	iMM904	MILP	3	3.0	4.852487087249756
CPLEX_PY	iMM904	LP	4	0.7174219325653098	0.03773784637451172
CPLEX_PY	iMM904	MILP	4	3.0	0.10899615287780762
GUROBI	iMM904	LP	4	0.7174219325653098	0.03129291534423828
GUROBI	iMM904	MILP	4	3.0	0.12956500053405762
SCIP_CMD	iMM904	LP	4	0.717421932565265	0.11454486846923828
SCIP_CMD	iMM904	MILP	4	3.0	0.30370116233825684
HiGHS_CMD	iMM904	LP	4	0.7174219325653	0.06560111045837402
HiGHS_CMD	iMM904	MILP	4	3.0	0.28958606719970703
GLPK_CMD	iMM904	LP	4	0.717422	0.0630331039428711
GLPK_CMD	iMM904	MILP	4	3.0	0.22944283485412598
COIN_CMD	iMM904	LP	4	0.71742193	0.0670931339263916
COIN_CMD	iMM904	MILP	4	3.0	4.866534948348999
CPLEX_PY	iMM904	LP	5	0.7174219325653098	0.037156105041503906
CPLEX_PY	iMM904	MILP	5	3.0	0.11121368408203125
GUROBI	iMM904	LP	5	0.7174219325653098	0.0314328670501709
GUROBI	iMM904	MILP	5	3.0	0.1297142505645752
SCIP_CMD	iMM904	LP	5	0.717421932565265	0.11390995979309082
SCIP_CMD	iMM904	MILP	5	3.0	0.3060789108276367
HiGHS_CMD	iMM904	LP	5	0.7174219325653	0.06621909141540527
HiGHS_CMD	iMM904	MILP	5	3.0	0.2885570526123047
GLPK_CMD	iMM904	LP	5	0.717422	0.06307578086853027
GLPK_CMD	iMM904	MILP	5	3.0	0.2296607494354248
COIN_CMD	iMM904	LP	5	0.71742193	0.06707310676574707
COIN_CMD	iMM904	MILP	5	3.0	4.8468780517578125
CPLEX_PY	iMM904	LP	6	0.7174219325653098	0.037381887435913086
CPLEX_PY	iMM904	MILP	6	3.0	0.11201286315917969
GUROBI	iMM904	LP	6	0.7174219325653098	0.03152728080749512
GUROBI	iMM904	MILP	6	3.0	0.13121581077575684
SCIP_CMD	iMM904	LP	6	0.717421932565265	0.11597275733947754
SCIP_CMD	iMM904	MILP	6	3.0	0.30628299713134766
HiGHS_CMD	iMM904	LP	6	0.7174219325653	0.06593108177185059
HiGHS_CMD	iMM904	MILP	6	3.0	0.2875330448150635
GLPK_CMD	iMM904	LP	6	0.717422	0.06266212463378906
GLPK_CMD	iMM904	MILP	6	3.0	0.23175501823425293
COIN_CMD	iMM904	LP	6	0.71742193	0.06819581985473633
COIN_CMD	iMM904	MILP	6	3.0	4.88470983505249
CPLEX_PY	iMM904	LP	7	0.7174219325653098	0.0379338264465332
CPLEX_PY	iMM904	MILP	7	3.0	0.11234211921691895
GUROBI	iMM904	LP	7	0.7174219325653098	0.030903100967407227
GUROBI	iMM904	MILP	7	3.0	0.1320030689239502
SCIP_CMD	iMM904	LP	7	0.717421932565265	0.11359310150146484
SCIP_CMD	iMM904	MILP	7	3.0	0.30695509910583496
HiGHS_CMD	iMM904	LP	7	0.7174219325653	0.06531786918640137
HiGHS_CMD	iMM904	MILP	7	3.0	0.2904670238494873
GLPK_CMD	iMM904	LP	7	0.717422	0.062413692474365234
GLPK_CMD	iMM904	MILP	7	3.0	0.2296128273010254
COIN_CMD	iMM904	LP	7	0.71742193	0.067291259765625
COIN_CMD	iMM904	MILP	7	3.0	4.936045169830322
CPLEX_PY	iMM904	LP	8	0.7174219325653098	0.037236928939819336
CPLEX_PY	iMM904	MILP	8	3.0	0.10985302925109863
GUROBI	iMM904	LP	8	0.7174219325653098	0.031273841857910156
GUROBI	iMM904	MILP	8	3.0	0.12825703620910645
SCIP_CMD	iMM904	LP	8	0.717421932565265	0.11213374137878418
SCIP_CMD	iMM904	MILP	8	3.0	0.3074510097503662
HiGHS_CMD	iMM904	LP	8	0.7174219325653	0.06563019752502441
HiGHS_CMD	iMM904	MILP	8	3.0	0.2925279140472412
GLPK_CMD	iMM904	LP	8	0.717422	0.06736397743225098
GLPK_CMD	iMM904	MILP	8	3.0	0.22969412803649902
COIN_CMD	iMM904	LP	8	0.71742193	0.06848406791687012
COIN_CMD	iMM904	MILP	8	3.0	5.525128126144409
CPLEX_PY	iMM904	LP	9	0.7174219325653098	0.037718772888183594
CPLEX_PY	iMM904	MILP	9	3.0	0.11143779754638672
GUROBI	iMM904	LP	9	0.7174219325653098	0.031922101974487305
GUROBI	iMM904	MILP	9	3.0	0.13497185707092285
SCIP_CMD	iMM904	LP	9	0.717421932565265	0.11498475074768066
SCIP_CMD	iMM904	MILP	9	3.0	0.3058509826660156
HiGHS_CMD	iMM904	LP	9	0.7174219325653	0.06679511070251465
HiGHS_CMD	iMM904	MILP	9	3.0	0.29123902320861816
GLPK_CMD	iMM904	LP	9	0.717422	0.06333494186401367
GLPK_CMD	iMM904	MILP	9	3.0	0.22979187965393066
COIN_CMD	iMM904	LP	9	0.71742193	0.06864428520202637
COIN_CMD	iMM904	MILP	9	3.0	4.9625279903411865
CPLEX_PY	iAF1260	LP	0	3.6101431416268066	0.06690096855163574
CPLEX_PY	iAF1260	MILP	0	12.999999998	0.45113182067871094
