interface	replicate	value	time
HiGHS_CMD	96	6.0	5.56781530380249
CPLEX_PY	97	6.0	1.0519087314605713
GUROBI	97	6.0	0.9629321098327637
SCIP_CMD	97	6.0	2.5284039974212646
HiGHS_CMD	97	6.0	6.436837911605835
CPLEX_PY	98	6.0	0.9920897483825684
GUROBI	98	6.0	1.1897871494293213
SCIP_CMD	98	6.0	4.497210741043091
HiGHS_CMD	98	6.0	5.319216966629028
CPLEX_PY	99	7.0	0.5309879779815674
GUROBI	99	7.0	0.762641191482544
SCIP_CMD	99	7.0	3.7396678924560547
HiGHS_CMD	99	7.0	5.425441026687622
CPLEX_PY	100	7.0	0.4645419120788574
GUROBI	100	7.0	0.4600539207458496
SCIP_CMD	100	7.0	3.8268048763275146
HiGHS_CMD	100	7.0	6.483333110809326
CPLEX_PY	101	6.0	1.1005609035491943
GUROBI	101	6.0	0.7905569076538086
SCIP_CMD	101	6.0	2.525336742401123
HiGHS_CMD	101	6.0	5.231791973114014
CPLEX_PY	102	6.0	0.8236169815063477
GUROBI	102	6.0	0.6785252094268799
SCIP_CMD	102	6.0	3.725356101989746
HiGHS_CMD	102	6.0	4.287118911743164
CPLEX_PY	103	6.0	0.7770450115203857
GUROBI	103	6.0	0.6939089298248291
SCIP_CMD	103	6.0	1.4131319522857666
HiGHS_CMD	103	5.9999999999999005	7.624355792999268
CPLEX_PY	104	6.0	0.7276017665863037
GUROBI	104	6.0	1.178001880645752
SCIP_CMD	104	6.0	1.8677639961242676
HiGHS_CMD	104	6.0	6.229940891265869
CPLEX_PY	105	6.0	0.9591870307922363
GUROBI	105	6.0	0.8103570938110352
SCIP_CMD	105	6.0	7.37437891960144
HiGHS_CMD	105	6.0	4.492518901824951
CPLEX_PY	106	6.0	0.8644721508026123
GUROBI	106	6.0	0.6526238918304443
SCIP_CMD	106	6.0	3.1380951404571533
HiGHS_CMD	106	6.0	4.822981119155884
CPLEX_PY	107	7.0	0.8672580718994141
GUROBI	107	7.0	0.6647911071777344
SCIP_CMD	107	7.0	2.2055599689483643
HiGHS_CMD	107	7.0	5.566272974014282
CPLEX_PY	108	6.0	1.038496971130371
GUROBI	108	6.0	0.625136137008667
SCIP_CMD	108	6.0	6.5667829513549805
HiGHS_CMD	108	6.0	8.727339029312134
