interface	model	test	replicate	value	time
HiGHS_CMD	iLJ478	LP	6	0.1773033816015	0.03818392753601074
HiGHS_CMD	iLJ478	LP	7	0.1773033816015	0.037699222564697266
HiGHS_CMD	iLJ478	LP	8	0.1773033816015	0.038170814514160156
HiGHS_CMD	iLJ478	LP	9	0.1773033816015	0.03759193420410156
CPLEX_PY	iCN718	LP	0	0.23894922467506674	0.02567601203918457
CPLEX_PY	iCN718	LP	1	0.23894922467506674	0.024488210678100586
CPLEX_PY	iCN718	LP	2	0.23894922467506674	0.024001121520996094
CPLEX_PY	iCN718	LP	3	0.23894922467506674	0.024079084396362305
CPLEX_PY	iCN718	LP	4	0.23894922467506674	0.023819923400878906
CPLEX_PY	iCN718	LP	5	0.23894922467506674	0.024443864822387695
CPLEX_PY	iCN718	LP	6	0.23894922467506674	0.023738861083984375
CPLEX_PY	iCN718	LP	7	0.23894922467506674	0.024006128311157227
CPLEX_PY	iCN718	LP	8	0.23894922467506674	0.023756980895996094
CPLEX_PY	iCN718	LP	9	0.23894922467506674	0.02368903160095215
GUROBI	iCN718	LP	0	0.2389492246750792	0.020511150360107422
GUROBI	iCN718	LP	1	0.2389492246750792	0.0196840763092041
GUROBI	iCN718	LP	2	0.2389492246750792	0.01960015296936035
GUROBI	iCN718	LP	3	0.2389492246750792	0.01970696449279785
GUROBI	iCN718	LP	4	0.2389492246750792	0.019661903381347656
GUROBI	iCN718	LP	5	0.2389492246750792	0.019682884216308594
GUROBI	iCN718	LP	6	0.2389492246750792	0.019304990768432617
GUROBI	iCN718	LP	7	0.2389492246750792	0.0193328857421875
GUROBI	iCN718	LP	8	0.2389492246750792	0.03235316276550293
GUROBI	iCN718	LP	9	0.2389492246750792	0.0214688777923584
GLPK_CMD	iCN718	LP	0	0.238949	0.05402088165283203
GLPK_CMD	iCN718	LP	1	0.238949	0.04677700996398926
GLPK_CMD	iCN718	LP	2	0.238949	0.04972219467163086
GLPK_CMD	iCN718	LP	3	0.238949	0.04905223846435547
GLPK_CMD	iCN718	LP	4	0.238949	0.04613614082336426
GLPK_CMD	iCN718	LP	5	0.238949	0.04636096954345703
GLPK_CMD	iCN718	LP	6	0.238949	0.04623007774353027
GLPK_CMD	iCN718	LP	7	0.238949	0.04612016677856445
GLPK_CMD	iCN718	LP	8	0.238949	0.04717612266540527
GLPK_CMD	iCN718	LP	9	0.238949	0.04637002944946289
COIN_CMD	iCN718	LP	0	0.23893908	0.062197208404541016
