interface,size,rep,time,value,rel
GLPK_CMD,3,0,0.19804120063781738,52.902,0.06601373354593913
COIN_CMD,3,0,0.2065598964691162,52.902045,0.06885329882303874
CPLEX_PY,3,1,0.10821795463562012,52.902044959440396,0.0360726515452067
GUROBI,3,1,0.06985020637512207,52.9020449594404,0.02328340212504069
SCIP_CMD,3,1,0.271226167678833,52.9020449595644,0.09040872255961101
HiGHS_CMD,3,1,0.18181705474853516,52.9020449594524,0.06060568491617838
GLPK_CMD,3,1,0.15219402313232422,52.902,0.05073134104410807
COIN_CMD,3,1,0.16027235984802246,52.902045,0.05342411994934082
CPLEX_PY,3,2,0.1281731128692627,52.9020449594404,0.0427243709564209
GUROBI,3,2,0.0791778564453125,52.902044959440396,0.026392618815104168
SCIP_CMD,3,2,0.3270988464355469,52.9020449595644,0.10903294881184895
HiGHS_CMD,3,2,0.1876678466796875,52.9020449594524,0.06255594889322917
GLPK_CMD,3,2,0.1670370101928711,52.902,0.055679003397623696
COIN_CMD,3,2,0.2111191749572754,52.902045,0.0703730583190918
CPLEX_PY,3,3,0.16993403434753418,52.902044959440396,0.05664467811584473
GUROBI,3,3,0.09853696823120117,52.902044959440396,0.032845656077067055
SCIP_CMD,3,3,0.4622461795806885,52.9020449595644,0.1540820598602295
HiGHS_CMD,3,3,0.2622201442718506,52.9020449594524,0.08740671475728352
GLPK_CMD,3,3,0.49013304710388184,52.902,0.1633776823679606
COIN_CMD,3,3,0.33249616622924805,52.902045,0.11083205540974934
CPLEX_PY,3,4,0.15584683418273926,52.902044959440396,0.05194894472757975
GUROBI,3,4,0.0996091365814209,52.902044959440396,0.0332030455271403
SCIP_CMD,3,4,0.38887596130371094,52.9020449595644,0.1296253204345703
HiGHS_CMD,3,4,0.2235698699951172,52.9020449594524,0.07452328999837239
GLPK_CMD,3,4,0.21708202362060547,52.902,0.07236067454020183
COIN_CMD,3,4,0.2525608539581299,52.902045,0.08418695131937663
CPLEX_PY,3,5,0.16970586776733398,52.9020449594404,0.05656862258911133
GUROBI,3,5,0.1020810604095459,52.902044959440396,0.0340270201365153
SCIP_CMD,3,5,0.4116649627685547,52.9020449595644,0.1372216542561849
HiGHS_CMD,3,5,0.2676830291748047,52.9020449594524,0.08922767639160156
