interface	lpmethod	size	rep	time	value
CPLEX_PY	barrier	2	6	0.07749295234680176	6.965901695684487
GUROBI	primal	2	6	0.04887509346008301	6.965901695684453
GUROBI	dual	2	6	0.04814004898071289	6.965901695684486
GUROBI	barrier	2	6	0.09086394309997559	6.965901695684501
SCIP_CMD	primal	2	6	0.22419309616088867	6.96590169567182
SCIP_CMD	dual	2	6	0.22444391250610352	6.96590169567182
SCIP_CMD	barrier	2	6	0.2259807586669922	6.96590169567182
HiGHS_CMD	primal	2	6	0.12936019897460938	6.9659016956823
HiGHS_CMD	dual	2	6	0.1153249740600586	6.9659016956822
HiGHS_CMD	barrier	2	6	0.13117122650146484	6.9659016956823
GLPK_CMD	primal	2	6	0.10851192474365234	6.9659
GLPK_CMD	dual	2	6	0.19067692756652832	6.9659
GLPK_CMD	barrier	2	6	0.20231986045837402	
COIN_CMD	primal	2	6	0.10294580459594727	6.9659017
COIN_CMD	dual	2	6	0.12671184539794922	6.9659017
COIN_CMD	barrier	2	6	0.1431272029876709	6.9659017
CPLEX_PY	primal	2	7	0.09186506271362305	7.944305877785409
CPLEX_PY	dual	2	7	0.09118199348449707	7.944305877785409
CPLEX_PY	barrier	2	7	0.08919072151184082	7.944305877785409
GUROBI	primal	2	7	0.05512499809265137	7.944305877785487
GUROBI	dual	2	7	0.05897784233093262	7.944305877785492
GUROBI	barrier	2	7	0.1119697093963623	7.944305877785391
SCIP_CMD	primal	2	7	0.2340080738067627	7.94430587777822
SCIP_CMD	dual	2	7	0.23053789138793945	7.94430587777822
SCIP_CMD	barrier	2	7	0.22500205039978027	7.94430587777822
HiGHS_CMD	primal	2	7	0.14764690399169922	7.944305877784
HiGHS_CMD	dual	2	7	0.12390589714050293	7.944305877784
HiGHS_CMD	barrier	2	7	0.14949893951416016	7.944305877784
GLPK_CMD	primal	2	7	0.127213716506958	7.94431
GLPK_CMD	dual	2	7	0.23131823539733887	7.94431
GLPK_CMD	barrier	2	7	0.19809389114379883	
COIN_CMD	primal	2	7	0.11818385124206543	7.9443059
COIN_CMD	dual	2	7	0.3335258960723877	7.9442868
COIN_CMD	barrier	2	7	0.17177724838256836	7.9443059
CPLEX_PY	primal	2	8	0.08845210075378418	52.902044959440396
CPLEX_PY	dual	2	8	0.08829283714294434	52.902044959440396
CPLEX_PY	barrier	2	8	0.08739590644836426	52.902044959440396
GUROBI	primal	2	8	0.05317401885986328	52.9020449594404
GUROBI	dual	2	8	0.05283308029174805	52.902044959440396
GUROBI	barrier	2	8	0.06611013412475586	52.9020449594404
SCIP_CMD	primal	2	8	0.24405407905578613	52.9020449595644
SCIP_CMD	dual	2	8	0.2392871379852295	52.9020449595644
SCIP_CMD	barrier	2	8	0.2375168800354004	52.9020449595644
HiGHS_CMD	primal	2	8	0.15006184577941895	52.9020449594524
HiGHS_CMD	dual	2	8	0.13109493255615234	52.9020449594524
HiGHS_CMD	barrier	2	8	0.14150381088256836	52.9020449594524
GLPK_CMD	primal	2	8	0.12040305137634277	52.902
GLPK_CMD	dual	2	8	0.208740234375	52.902
GLPK_CMD	barrier	2	8	0.20995378494262695	
COIN_CMD	primal	2	8	0.11230683326721191	52.902045
COIN_CMD	dual	2	8	0.16227388381958008	52.902045
COIN_CMD	barrier	2	8	0.16160988807678223	52.902045
CPLEX_PY	primal	2	9	0.0991981029510498	52.902044959440396
CPLEX_PY	dual	2	9	0.09925699234008789	52.902044959440396
CPLEX_PY	barrier	2	9	0.09680795669555664	52.902044959440396
GUROBI	primal	2	9	0.05802106857299805	52.902044959440396
GUROBI	dual	2	9	0.05642890930175781	52.902044959440396
GUROBI	barrier	2	9	0.08392667770385742	52.902044959440396
SCIP_CMD	primal	2	9	0.28775787353515625	52.9020449595644
SCIP_CMD	dual	2	9	0.2747828960418701	52.9020449595644
SCIP_CMD	barrier	2	9	0.266481876373291	52.9020449595644
HiGHS_CMD	primal	2	9	0.17397594451904297	52.9020449594524
HiGHS_CMD	dual	2	9	0.13517379760742188	52.9020449594524
HiGHS_CMD	barrier	2	9	0.1662909984588623	52.9020449594524
GLPK_CMD	primal	2	9	0.1350250244140625	52.902
GLPK_CMD	dual	2	9	0.2575840950012207	52.902
GLPK_CMD	barrier	2	9	0.2400200366973877	
COIN_CMD	primal	2	9	0.12080001831054688	52.902045
COIN_CMD	dual	2	9	0.1621251106262207	52.902045
COIN_CMD	barrier	2	9	0.201462984085083	52.902045
CPLEX_PY	primal	3	0	0.14873385429382324	11.540727261281337
CPLEX_PY	dual	3	0	0.14501309394836426	11.540727261281337
CPLEX_PY	barrier	3	0	0.14630818367004395	11.540727261281337
GUROBI	primal	3	0	0.08272266387939453	11.540727261281354
GUROBI	dual	3	0	0.08705830574035645	11.540727261281381
GUROBI	barrier	3	0	0.189133882522583	11.540727261281337
SCIP_CMD	primal	3	0	0.3462791442871094	11.5407272612673
SCIP_CMD	dual	3	0	0.35237717628479004	11.5407272612673
SCIP_CMD	barrier	3	0	0.3484518527984619	11.5407272612673
HiGHS_CMD	primal	3	0	0.24178576469421387	11.5407272612804
HiGHS_CMD	dual	3	0	0.18781638145446777	11.5407272612804
HiGHS_CMD	barrier	3	0	0.2125859260559082	11.5407272612804
GLPK_CMD	primal	3	0	0.19415807723999023	11.5407
GLPK_CMD	dual	3	0	0.6102859973907471	11.5407
GLPK_CMD	barrier	3	0	0.39572978019714355	
COIN_CMD	primal	3	0	0.1657106876373291	11.540727
COIN_CMD	dual	3	0	0.25925588607788086	11.54073
COIN_CMD	barrier	3	0	0.3544766902923584	11.540727
CPLEX_PY	primal	3	1	0.10615921020507812	52.902044959440396
CPLEX_PY	dual	3	1	0.10668802261352539	52.902044959440396
CPLEX_PY	barrier	3	1	0.10399699211120605	52.902044959440396
GUROBI	primal	3	1	0.22204208374023438	52.902044959440396
GUROBI	dual	3	1	0.06886577606201172	52.9020449594404
GUROBI	barrier	3	1	0.10623311996459961	52.9020449594404
SCIP_CMD	primal	3	1	0.25434064865112305	52.9020449595644
SCIP_CMD	dual	3	1	0.25469326972961426	52.9020449595644
SCIP_CMD	barrier	3	1	0.25617313385009766	52.9020449595644
HiGHS_CMD	primal	3	1	0.18687915802001953	52.9020449594524
HiGHS_CMD	dual	3	1	0.16058778762817383	52.9020449594524
HiGHS_CMD	barrier	3	1	0.20589709281921387	52.9020449594524
GLPK_CMD	primal	3	1	0.16200685501098633	52.902
GLPK_CMD	dual	3	1	0.31521105766296387	52.902
GLPK_CMD	barrier	3	1	0.31314682960510254	
COIN_CMD	primal	3	1	0.1366410255432129	52.902045
COIN_CMD	dual	3	1	0.23653793334960938	52.902045
COIN_CMD	barrier	3	1	0.2472991943359375	52.902045
CPLEX_PY	primal	3	2	0.16041803359985352	33.435081935430105
CPLEX_PY	dual	3	2	0.16155409812927246	33.435081935430105
CPLEX_PY	barrier	3	2	0.1576850414276123	33.435081935430105
GUROBI	primal	3	2	0.08906316757202148	33.435081935430176
GUROBI	dual	3	2	0.09562492370605469	33.43508193543022
GUROBI	barrier	3	2	0.1299300193786621	33.43508193543027
SCIP_CMD	primal	3	2	0.38708996772766113	33.4350819353949
SCIP_CMD	dual	3	2	0.37809324264526367	33.4350819353949
SCIP_CMD	barrier	3	2	0.3806779384613037	33.4350819353949
HiGHS_CMD	primal	3	2	0.2635350227355957	33.4350819354234
HiGHS_CMD	dual	3	2	0.20836400985717773	33.4350819354235
HiGHS_CMD	barrier	3	2	0.24049997329711914	33.4350819354235
GLPK_CMD	primal	3	2	0.22132301330566406	33.4351
GLPK_CMD	dual	3	2	0.6903398036956787	33.4351
GLPK_CMD	barrier	3	2	0.4494929313659668	
COIN_CMD	primal	3	2	0.1881730556488037	33.435082
COIN_CMD	dual	3	2	0.43827199935913086	33.435082
COIN_CMD	barrier	3	2	0.40407395362854004	33.435082
CPLEX_PY	primal	3	3	0.12051868438720703	5.377609057722679
CPLEX_PY	dual	3	3	0.11941194534301758	5.377609057722679
CPLEX_PY	barrier	3	3	0.11805963516235352	5.377609057722679
GUROBI	primal	3	3	0.06482720375061035	5.3776090577226805
GUROBI	dual	3	3	0.06662297248840332	5.3776090577226725
GUROBI	barrier	3	3	0.08593106269836426	5.377609057722687
SCIP_CMD	primal	3	3	0.303804874420166	5.37760905771739
SCIP_CMD	dual	3	3	0.2912118434906006	5.37760905771738
SCIP_CMD	barrier	3	3	0.2847893238067627	5.37760905771738
HiGHS_CMD	primal	3	3	0.1762712001800537	5.3776090577219
HiGHS_CMD	dual	3	3	0.14281606674194336	5.3776090577219
HiGHS_CMD	barrier	3	3	0.16387104988098145	5.3776090577219
GLPK_CMD	primal	3	3	0.1413130760192871	5.37761
GLPK_CMD	dual	3	3	0.309128999710083	5.37761
GLPK_CMD	barrier	3	3	0.23311114311218262	
COIN_CMD	primal	3	3	0.12401580810546875	5.3776091
COIN_CMD	dual	3	3	0.18243098258972168	5.3776124
COIN_CMD	barrier	3	3	0.20511579513549805	5.3776091
CPLEX_PY	primal	3	4	0.1676158905029297	52.902044959440396
CPLEX_PY	dual	3	4	0.16923117637634277	52.902044959440396
CPLEX_PY	barrier	3	4	0.16686320304870605	52.902044959440396
GUROBI	primal	3	4	0.0924689769744873	52.9020449594404
GUROBI	dual	3	4	0.09183311462402344	52.9020449594404
GUROBI	barrier	3	4	0.31411266326904297	52.9020449594404
SCIP_CMD	primal	3	4	0.4359629154205322	52.9020449595644
SCIP_CMD	dual	3	4	0.4263460636138916	52.9020449595644
