interface	size	test	rep	time	value
CPLEX_PY	2	LP2	1	0.16786408424377441	1096.0188011724615
GUROBI	2	LP2	1	0.13241100311279297	1096.0188011724874
SCIP_CMD	2	LP2	1	0.5295512676239014	1096.0188011723762
HiGHS_CMD	2	LP2	1	0.2526252269744873	1096.018801172502
GLPK_CMD	2	LP2	1	0.34204888343811035	1096.0150940641981
COIN_CMD	2	LP2	1	0.32031702995300293	1096.0187987496458
CPLEX_PY	2	LP	2	0.09743881225585938	52.9020449594404
GUROBI	2	LP	2	0.06484627723693848	52.902044959440396
SCIP_CMD	2	LP	2	0.34254002571105957	52.9020449595644
HiGHS_CMD	2	LP	2	0.16495704650878906	52.9020449594524
GLPK_CMD	2	LP	2	0.1492290496826172	52.902
COIN_CMD	2	LP	2	0.15335297584533691	52.902045
CPLEX_PY	2	LP2	2	0.37332677841186523	52036.47774221906
GUROBI	2	LP2	2	0.27224230766296387	52036.47774221895
SCIP_CMD	2	LP2	2	1.0068609714508057	52036.477742482755
HiGHS_CMD	2	LP2	2	0.5065569877624512	52036.47774223818
GLPK_CMD	2	LP2	2	0.9497179985046387	52036.37167760101
COIN_CMD	2	LP2	2	0.6227071285247803	52036.477799586966
CPLEX_PY	2	LP	3	0.07760930061340332	52.9020449594404
GUROBI	2	LP	3	0.061904191970825195	52.902044959440396
SCIP_CMD	2	LP	3	0.24910640716552734	52.9020449595644
HiGHS_CMD	2	LP	3	0.1402146816253662	52.9020449594525
GLPK_CMD	2	LP	3	0.1255970001220703	52.902
COIN_CMD	2	LP	3	0.13930678367614746	52.902045
CPLEX_PY	2	LP2	3	0.2964320182800293	72373.01846115965
GUROBI	2	LP2	3	0.22691583633422852	72373.01846115978
SCIP_CMD	2	LP2	3	0.7450389862060547	72373.0184615049
HiGHS_CMD	2	LP2	3	0.4339888095855713	72373.0184611983
GLPK_CMD	2	LP2	3	0.7371730804443359	72372.9473992501
COIN_CMD	2	LP2	3	0.48574304580688477	72373.01858495995
CPLEX_PY	2	LP	4	0.08477497100830078	52.9020449594404
GUROBI	2	LP	4	0.06514310836791992	52.9020449594404
SCIP_CMD	2	LP	4	0.25119686126708984	52.9020449595644
HiGHS_CMD	2	LP	4	0.15323710441589355	52.9020449594524
GLPK_CMD	2	LP	4	0.13643169403076172	52.902
COIN_CMD	2	LP	4	0.17364907264709473	
CPLEX_PY	2	LP2	4	0.31667566299438477	64898.947046724425
GUROBI	2	LP2	4	0.24972176551818848	64898.947046724796
SCIP_CMD	2	LP2	4	0.7430319786071777	64898.94704712686
HiGHS_CMD	2	LP2	4	0.4559009075164795	64898.94704677072
GLPK_CMD	2	LP2	4	0.6812591552734375	64898.847742890015
COIN_CMD	2	LP2	4	0.16152596473693848	
CPLEX_PY	2	LP	5	0.05428671836853027	12.236396219804282
GUROBI	2	LP	5	0.042778968811035156	12.236396219804256
SCIP_CMD	2	LP	5	0.18378400802612305	12.2363962197877
HiGHS_CMD	2	LP	5	0.09890007972717285	12.2363962198014
GLPK_CMD	2	LP	5	0.09001684188842773	12.2364
COIN_CMD	2	LP	5	0.10724282264709473	12.236396
CPLEX_PY	2	LP2	5	0.20058798789978027	14466.470704631347
GUROBI	2	LP2	5	0.16262602806091309	14466.470704630543
SCIP_CMD	2	LP2	5	0.543834924697876	14466.4707047888
HiGHS_CMD	2	LP2	5	0.30561304092407227	14466.470704611758
GLPK_CMD	2	LP2	5	0.4078218936920166	
COIN_CMD	2	LP2	5	0.4002671241760254	14466.467774897912
CPLEX_PY	2	LP	6	0.0749969482421875	34.75649186788311
GUROBI	2	LP	6	0.060259103775024414	34.75649186788317
SCIP_CMD	2	LP	6	0.23203206062316895	34.7564918678857
HiGHS_CMD	2	LP	6	0.13137292861938477	34.7564918678658
GLPK_CMD	2	LP	6	0.13764595985412598	34.7565
COIN_CMD	2	LP	6	0.19025778770446777	34.053038
CPLEX_PY	2	LP2	6	0.29369330406188965	77509.27953507336
GUROBI	2	LP2	6	0.24080920219421387	77509.27953518445
SCIP_CMD	2	LP2	6	0.725459098815918	77509.27955134964
HiGHS_CMD	2	LP2	6	0.43201780319213867	77509.27954021878
GLPK_CMD	2	LP2	6	0.6632299423217773	
COIN_CMD	2	LP2	6	0.6531999111175537	63795.63517999235
CPLEX_PY	2	LP	7	0.0667262077331543	6.068170334928719
GUROBI	2	LP	7	0.05307602882385254	6.068170334928725
SCIP_CMD	2	LP	7	0.2679769992828369	6.06817033491989
HiGHS_CMD	2	LP	7	0.1276841163635254	6.0681703349274
GLPK_CMD	2	LP	7	0.11973285675048828	6.06817
COIN_CMD	2	LP	7	0.1284160614013672	6.0681849
CPLEX_PY	2	LP2	7	0.2315976619720459	13336.073677429886
GUROBI	2	LP2	7	0.17958664894104004	13336.073677429571
SCIP_CMD	2	LP2	7	0.6542668342590332	13336.073677431561
HiGHS_CMD	2	LP2	7	0.3444538116455078	13336.073677424394
GLPK_CMD	2	LP2	7	0.4753611087799072	13336.06693585818
COIN_CMD	2	LP2	7	0.3751652240753174	
CPLEX_PY	2	LP	8	0.07297396659851074	50.17476165066809
GUROBI	2	LP	8	0.06199479103088379	50.174761650668316
SCIP_CMD	2	LP	8	0.34913039207458496	50.1747616505802
HiGHS_CMD	2	LP	8	0.14449787139892578	50.174761650646
GLPK_CMD	2	LP	8	0.13765788078308105	50.1748
COIN_CMD	2	LP	8	0.12824320793151855	50.174763
CPLEX_PY	2	LP2	8	0.27303028106689453	123263.17242065542
GUROBI	2	LP2	8	0.21463990211486816	123263.17242065778
SCIP_CMD	2	LP2	8	0.7378139495849609	123263.17242054947
HiGHS_CMD	2	LP2	8	0.4034841060638428	123263.17242063345
GLPK_CMD	2	LP2	8	0.6779348850250244	
COIN_CMD	2	LP2	8	0.4441359043121338	123263.18300473741
CPLEX_PY	2	LP	9	0.09313797950744629	35.01275276663394
GUROBI	2	LP	9	0.06973099708557129	35.012752766633966
SCIP_CMD	2	LP	9	0.3488430976867676	35.0127527666213
HiGHS_CMD	2	LP	9	0.16507792472839355	35.012752766632
GLPK_CMD	2	LP	9	0.15112900733947754	35.0128
COIN_CMD	2	LP	9	0.14600181579589844	35.012753
CPLEX_PY	2	LP2	9	0.3324470520019531	45134.45657053964
GUROBI	2	LP2	9	0.25752902030944824	45134.45657053751
SCIP_CMD	2	LP2	9	0.8218421936035156	45134.45656846143
HiGHS_CMD	2	LP2	9	0.45194482803344727	45134.45657036094
GLPK_CMD	2	LP2	9	0.6649661064147949	
COIN_CMD	2	LP2	9	0.7317318916320801	
CPLEX_PY	3	LP	0	0.12564468383789062	15.725339531637504
GUROBI	3	LP	0	0.09041619300842285	15.725339531637513
SCIP_CMD	3	LP	0	0.3500511646270752	15.725339531612
HiGHS_CMD	3	LP	0	0.20528507232666016	15.7253395316328
GLPK_CMD	3	LP	0	0.19661211967468262	15.7253
COIN_CMD	3	LP	0	0.23821783065795898	15.724488
CPLEX_PY	3	LP2	0	31.71478819847107	26027.12762789167
GUROBI	3	LP2	0	0.38651108741760254	26027.127627889975
SCIP_CMD	3	LP2	0	1.1884589195251465	26027.12762723647
HiGHS_CMD	3	LP2	0	0.7150211334228516	26027.127627744674
GLPK_CMD	3	LP2	0	1.389948844909668	26025.0948547488
COIN_CMD	3	LP2	0	1.287517786026001	25983.328491790577
CPLEX_PY	3	LP	1	0.1195371150970459	29.946670178704572
GUROBI	3	LP	1	0.08780193328857422	29.94667017870462
SCIP_CMD	3	LP	1	0.35293126106262207	29.9466701787072
HiGHS_CMD	3	LP	1	0.20330476760864258	29.9466701787046
GLPK_CMD	3	LP	1	0.21108603477478027	29.9467
