interface	replicate	value	time
HiGHS_CMD	11	834221.205123214	0.6110658645629883
GLPK_CMD	11	834221.2013949729	2.074152946472168
COIN_CMD	11	834221.205156247	0.5218770503997803
GUROBI	12	798812.5652354911	0.4726998805999756
SCIP_CMD	12	798812.5652354911	1.9373719692230225
HiGHS_CMD	12	798812.5652354911	0.6145017147064209
GLPK_CMD	12	798812.5675676194	2.0796587467193604
COIN_CMD	12	798812.5652433675	0.48350095748901367
GUROBI	13	784266.3801553465	0.41699886322021484
SCIP_CMD	13	784266.3801553465	1.8663580417633057
HiGHS_CMD	13	784266.3801553464	0.6498978137969971
GLPK_CMD	13	784266.3778044664	2.0587079524993896
COIN_CMD	13	784266.3801465154	0.5030901432037354
GUROBI	14	862903.541418216	0.4786357879638672
SCIP_CMD	14	862903.541418216	1.9742331504821777
HiGHS_CMD	14	862903.541418216	0.6299600601196289
GLPK_CMD	14	862903.5429878734	2.0200650691986084
COIN_CMD	14	862903.5414184568	0.5061650276184082
GUROBI	15	813540.0127717357	0.42146801948547363
SCIP_CMD	15	813540.0127717354	1.9447917938232422
HiGHS_CMD	15	813540.0127717355	0.6382501125335693
GLPK_CMD	15	813540.0153300692	2.0547571182250977
COIN_CMD	15	813540.0127574035	0.5242900848388672
GUROBI	16	827424.6168054377	0.40585970878601074
SCIP_CMD	16	827424.6168054375	2.0582780838012695
HiGHS_CMD	16	827424.6168054375	0.6478850841522217
GLPK_CMD	16	827424.6172548154	2.1407382488250732
COIN_CMD	16	827424.6168432451	0.5033838748931885
GUROBI	17	846600.7930344682	0.39724278450012207
SCIP_CMD	17	846600.7930344682	1.9920158386230469
HiGHS_CMD	17	846600.7930344682	0.6112940311431885
GLPK_CMD	17	846600.7901285152	2.0750539302825928
COIN_CMD	17	846600.7930296678	0.5238580703735352
GUROBI	18	817984.7254763488	0.4738047122955322
SCIP_CMD	18	817984.7254763489	1.956676959991455
HiGHS_CMD	18	817984.7254763488	0.6799411773681641
GLPK_CMD	18	817984.7274696564	2.1084649562835693
COIN_CMD	18	817984.7254390644	0.5281071662902832
GUROBI	19	851728.3881242148	0.42655420303344727
SCIP_CMD	19	851728.3881242146	1.9981191158294678
HiGHS_CMD	19	851728.3881242147	0.6284289360046387
GLPK_CMD	19	851728.384138205	2.116818904876709
COIN_CMD	19	851728.3881454591	0.5197103023529053
GUROBI	20	790532.0097836322	0.503075122833252
SCIP_CMD	20	790532.0097836322	2.0186922550201416
HiGHS_CMD	20	790532.0097836322	0.6195700168609619
GLPK_CMD	20	790532.0021816728	2.0777761936187744
COIN_CMD	20	790532.0097903818	0.5018901824951172
GUROBI	21	818943.6340318278	0.41017818450927734
SCIP_CMD	21	818943.6340318277	1.9467341899871826
HiGHS_CMD	21	818943.6340318277	0.6487619876861572
GLPK_CMD	21	818943.6359436893	2.0393900871276855
COIN_CMD	21	818943.6340296784	0.4712669849395752
GUROBI	22	829042.2027340693	0.4097900390625
SCIP_CMD	22	829042.2027340691	2.0033607482910156
HiGHS_CMD	22	829042.2027340693	0.6063251495361328
GLPK_CMD	22	829042.1967574838	2.082456111907959
COIN_CMD	22	829042.2027658115	0.5244100093841553
GUROBI	23	814420.2164221796	0.4495890140533447
SCIP_CMD	23	814420.2164221797	2.4451591968536377
HiGHS_CMD	23	814420.2164221796	0.6644408702850342
GLPK_CMD	23	814420.2155239265	2.121673107147217
COIN_CMD	23	814420.2164163628	0.5110032558441162
GUROBI	24	890709.5124145959	0.4758439064025879
SCIP_CMD	24	890709.5124145959	2.0320117473602295
HiGHS_CMD	24	890709.5124145959	0.6378240585327148
GLPK_CMD	24	890709.5157232389	2.051851749420166
COIN_CMD	24	890709.5123890833	0.5094308853149414
GUROBI	25	815834.6394339468	0.432415246963501
SCIP_CMD	25	815834.6394339468	2.0654728412628174
HiGHS_CMD	25	815834.6394339468	0.6236591339111328
GLPK_CMD	25	815834.6387868021	2.1722800731658936
COIN_CMD	25	815834.639410468	0.4935939311981201
GUROBI	26	818780.6864959348	0.5125670433044434
SCIP_CMD	26	818780.6864959348	1.8956308364868164
HiGHS_CMD	26	818780.686495935	0.6549339294433594
GLPK_CMD	26	818780.6892946454	2.10176682472229
